Solver Grids Delta_A Delta_B Pcost Time Restriction1 Restriction2
1 10 4000 6 236.33 0.142 0 -13.816
1 10 4000 6 403.49 0.138 0 -7.584
1 10 4000 6 380.71 0.169 0 -20.552
1 10 4000 6 321.44 0.161 0 -7.620
1 10 4000 6 352.11 0.151 0 -21.500
1 10 4000 6 320.61 0.148 0 -19.160
1 10 4000 6 373.15 0.150 0 -12.780
1 10 4000 6 271.06 0.153 0 -26.680
1 10 4000 6 365.91 0.159 0 -4.612
1 10 4000 6 268.17 0.144 0 -17.940
1 10 4000 6 378.70 0.138 0 -16.660
1 10 4000 6 370.06 0.150 0 -8.728
1 10 4000 6 349.12 0.167 0 -11.252
1 10 4000 6 348.09 0.142 0 -19.436
1 10 4000 6 366.50 0.158 0 -9.428
1 10 4000 6 383.82 0.160 0 -10.284
1 10 4000 6 400.51 0.144 0 -15.960
1 10 4000 6 398.30 0.163 0 -32.052
1 10 4000 6 387.11 0.168 0 -13.772
1 10 4000 6 378.29 0.135 0 -11.708
1 10 4000 6 386.30 0.134 0 -8.248
1 10 4000 6 392.32 0.148 0 -19.364
1 10 4000 6 279.59 0.152 0 -15.092
1 10 4000 6 425.55 0.165 0 -22.280
1 10 4000 6 357.04 0.151 0 -19.780
1 10 4000 6 385.07 0.160 0 -0.576
1 10 4000 6 348.09 0.170 0 -34.300
1 10 4000 6 371.03 0.151 0 1.936
1 10 4000 6 218.38 0.150 0 -24.868
1 10 4000 6 346.05 0.149 0 -38.684
1 10 4000 6 415.54 0.149 0 -2.600
1 10 4000 6 377.35 0.172 0 -21.080
1 10 4000 6 308.27 0.150 0 -35.284
1 10 4000 6 435.73 0.150 0 -5.164
1 10 4000 6 421.70 0.160 0 -3.828
1 10 4000 6 254.06 0.168 0 -25.640
1 10 4000 6 460.93 0.165 0 0.996
1 10 4000 6 338.22 0.177 0 -23.916
1 10 4000 6 341.61 0.142 0 -15.112
1 10 4000 6 362.58 0.156 0 -31.300
1 10 4000 6 376.42 0.139 0 -4.376
1 10 4000 6 316.58 0.160 0 -29.428
1 10 4000 6 258.87 0.189 0 -37.144
1 10 4000 6 418.30 0.142 0 -18.100
1 10 4000 6 403.72 0.159 0 -19.512
1 10 4000 6 382.55 0.154 0 -10.964
1 10 4000 6 372.62 0.162 0 -27.804
1 10 4000 6 345.35 0.149 0 -20.364
1 10 4000 6 345.85 0.177 0 -1.432
1 10 4000 6 230.53 0.156 0 -32.428
1 10 4000 6 282.13 0.170 0 -25.892
1 10 4000 6 455.05 0.152 0 -5.296
1 10 4000 6 332.15 0.156 0 -19.224
1 10 4000 6 345.71 0.159 0 -18.120
